productid,productName,subCategory,size,finalPrice,image_url,comb,available
1667,Turmeric Powder,Spices,100 gm,28,http://143.110.186.55:8080/vf-api/android/productImage/Turmeric Powder/jpg,turmeric powder spices,yes
1668,Turmeric Powder,Spices,200 gm,55,http://143.110.186.55:8080/vf-api/android/productImage/Turmeric Powder/jpg,turmeric powder spices,yes
1669,Turmeric Powder,Spices,50 gm,14,http://143.110.186.55:8080/vf-api/android/productImage/Turmeric Powder/jpg,turmeric powder spices,yes
1670,Goda Masala,Spices,50 gm,25,http://143.110.186.55:8080/vf-api/android/productImage/Goda Masala/jpg,goda masala spices,yes
1671,Goda Masala,Spices,100 gm,49,http://143.110.186.55:8080/vf-api/android/productImage/Goda Masala/jpg,goda masala spices,yes
1672,Goda Masala,Spices,200 gm,96,http://143.110.186.55:8080/vf-api/android/productImage/Goda Masala/jpg,goda masala spices,yes
1673,Jeera Powder,Spices,50 gm,19,http://143.110.186.55:8080/vf-api/android/productImage/Jeera Powder/jpg,jeera powder spices,yes
1674,Jeera Powder,Spices,100 gm,37,http://143.110.186.55:8080/vf-api/android/productImage/Jeera Powder/jpg,jeera powder spices,yes
1675,Parachute Hair Oil ,Hair Oil,100 ml,38,http://143.110.186.55:8080/vf-api/android/productImage/Parachute Hair Oil/jpg,parachute hair oil  hair oil,yes
1676,Parle G Biscuit 110gm,"Biscuits ,Cookies & Chocolates",1 pkt,10,http://143.110.186.55:8080/vf-api/android/productImage/Parle G/jpg,"parle g biscuit 110gm biscuits ,cookies & chocolates",yes
1677,Parle G Biscuit 250gm,"Biscuits ,Cookies & Chocolates",1 pkt,22,http://143.110.186.55:8080/vf-api/android/productImage/Parle G/jpg,"parle g biscuit 250gm biscuits ,cookies & chocolates",yes
1678,Parle G Gold 100gm,"Biscuits ,Cookies & Chocolates",1 pkt,10,http://143.110.186.55:8080/vf-api/android/productImage/Parle G Gold/jpeg,"parle g gold 100gm biscuits ,cookies & chocolates",yes
1679,Parle G Gold 500gm,"Biscuits ,Cookies & Chocolates",1 pkt,65,http://143.110.186.55:8080/vf-api/android/productImage/Parle G Gold/jpeg,"parle g gold 500gm biscuits ,cookies & chocolates",yes
